#key, created, size, mimetype
SentiLex-PT02.zip,2017-10-22T16:50:22.413666+00:00,604242,application/zip
100LOS_cluster_random.zip,2017-10-13T14:02:02.354453+00:00,1329092,application/zip
50LOS_cluster_central.zip,2017-10-13T14:02:02.366603+00:00,1258126,application/zip
100LOS_cluster_random.zip,2017-10-13T13:29:03.207752+00:00,1447995,application/zip
50LOS_cluster_central.zip,2017-10-13T13:29:03.221556+00:00,1285703,application/zip
DYN6_subs300_z0.h5,2017-10-11T13:22:50.807509+00:00,648004192,application/octet-stream
DYN6_subs300_z0.h5_projx.fits,2017-10-11T13:22:50.820003+00:00,1802880,application/octet-stream
DYN6_subs300_z0.h5_projz.fits,2017-10-11T13:22:50.833228+00:00,1802880,application/octet-stream
CSF3_subs300_z0.h5,2017-10-11T13:15:23.878979+00:00,648004192,application/octet-stream
CSF3_subs300_z0.h5_projx.fits,2017-10-11T13:15:23.891537+00:00,1802880,application/octet-stream
CSF3_subs300_z0.h5_projz.fits,2017-10-11T13:15:23.903447+00:00,1802880,application/octet-stream
CSFBH2_subs300_z0.h5,2017-10-11T13:15:23.916230+00:00,648004192,application/octet-stream
CSFBH2_subs300_z0.h5_projx.fits,2017-10-11T13:15:23.928173+00:00,1802880,application/octet-stream
CSFBH2_subs300_z0.h5_projz.fits,2017-10-11T13:15:23.940493+00:00,1802880,application/octet-stream
CSFBH5_subs300_z0.h5,2017-10-11T13:15:23.952433+00:00,648004192,application/octet-stream
CSFBH5_subs300_z0.h5_projx.fits,2017-10-11T13:15:23.964383+00:00,1802880,application/octet-stream
CSFBH5_subs300_z0.h5_projz.fits,2017-10-11T13:15:23.976447+00:00,1802880,application/octet-stream
P_subs300_z0.h5,2017-10-11T09:28:12.829161+00:00,648004192,application/octet-stream
P_subs300_z0.h5_projx.fits,2017-10-11T09:28:12.841579+00:00,1802880,application/octet-stream
P_subs300_z0.h5_projz.fits,2017-10-11T09:28:12.853788+00:00,1802880,application/octet-stream
Pz2_subs300_z0.h5,2017-10-11T09:28:12.866340+00:00,648004192,application/octet-stream
Pz2_subs300_z0.h5_projx.fits,2017-10-11T09:28:12.878348+00:00,1802880,application/octet-stream
Pz2_subs300_z0.h5_projz.fits,2017-10-11T09:28:12.890339+00:00,1802880,application/octet-stream
SFR_magnetic_CSF0model.dat,2017-10-10T19:27:54.416442+00:00,6107,application/octet-stream
SFR_magnetic_CSF1model.dat,2017-10-10T19:27:54.428710+00:00,6107,application/octet-stream
SFR_magnetic_CSF2model.dat,2017-10-10T19:27:54.440560+00:00,6107,application/octet-stream
SFR_magnetic_CSF3model.dat,2017-10-10T19:27:54.452437+00:00,6107,application/octet-stream
SFR_magnetic_CSFBH1model.dat,2017-10-10T19:27:54.464243+00:00,6107,application/octet-stream
SFR_magnetic_CSFBH3model.dat,2017-10-10T19:27:54.476423+00:00,4096,application/octet-stream
SFR_magnetic_CSFBH5model.dat,2017-10-10T19:27:54.488209+00:00,6107,application/octet-stream
EUDAT Services Terms of Use.pdf,2017-09-27T09:14:36.993670+00:00,176873,application/pdf
EUDAT2020-DEL-WP8-D8.2_Report_on_Technology_Watch.pdf,2017-08-26T10:07:07.936457+00:00,2385642,application/pdf
soil_moisture_LTER_EU_SP_001_Doñana_LTSER.xlsx,2017-08-21T08:52:40.577275+00:00,61270856,application/octet-stream
0016-policy-TAB-Election-Process.pdf,2017-08-04T12:40:17.071754+00:00,221234,application/pdf
soil_moisture_LTER_EU_LV_002_Mazs_soil_moist_1992_2012.xlsx,2017-08-02T21:26:51.271875+00:00,337949,application/octet-stream
EUDAT2020-DEL-WP4-D4.5-Data_and_Computing_Landscape_Characteristics_and_Scientific_Communities_Environment_and_Requirements-1.pdf,2017-07-21T16:08:50.168225+00:00,1155411,application/pdf
EUDAT2020-DEL-WP9-D9.6-Final_Report_on_Testing_of_Graph_Technologies.pdf,2017-07-21T13:53:14.699931+00:00,866377,application/pdf
EUDAT2020-DEL-WP9-D9.4-Final_Report_on_Efficient_Integrity_Checking.pdf,2017-07-21T13:48:54.587532+00:00,684836,application/pdf
EUDAT2020-DEL-WP9-D9.3_Interim_Report_on_Testing_of_Scalability_of_Graph_Technology_Implementation.pdf,2017-07-21T13:45:35.243794+00:00,793745,application/pdf
EUDAT2020-DEL-WP9-D9.2_Interim_Report_of_Use_of_HTTP_as_a_Federation_Technology.pdf,2017-07-21T13:40:17.282233+00:00,1255603,application/pdf
EUDAT2020-DEL-WP9-D9.1_Interim_Report_on_The_Applicability_of_Object_Stores_within_EUDAT.pdf,2017-07-21T13:36:33.964560+00:00,1346403,application/pdf
EUDAT2020-DEL-WP8-D8.4_Initial_Service_Prototypes.pdf,2017-07-21T13:32:56.409942+00:00,1877002,application/pdf
EUDAT2020-DEL-WP8-D8.1_Report_of_Requirements.pdf,2017-07-21T13:28:25.256623+00:00,1021855,application/pdf
EUDAT2020-DEL-WP7-D7.2-Assessment_of_Commercial_Storage_Services.pdf,2017-07-21T13:18:51.318896+00:00,3060249,application/pdf
EUDAT2020-DEL-WP7-D7.1-EUDAT_EGI_Pilot_Activity.pdf,2017-07-21T13:14:40.116376+00:00,1310064,application/pdf
EUDAT2020-DEL-WP6-D6.1-Report_on_Status_and_Progress_of_Operations_-_Year_1.pdf,2017-07-21T13:10:06.383030+00:00,4782775,application/pdf
EUDAT2020-DEL-WP5-D5.1_Report_on_Service_Building_Status_and_Progress_year_1.pdf,2017-07-21T13:03:15.260673+00:00,4102195,application/pdf
EUDAT2020-DEL-WP4-D4.6-Service_Uptake_within_Communities_update.pdf,2017-07-21T12:53:33.329596+00:00,1673358,application/pdf
EUDAT2020-DEL-WP4-D4.4-Activity_Report_year _1.pdf,2017-07-21T12:45:39.347974+00:00,891394,application/pdf
EUDAT2020-DEL-WP4-D4.3-Service_Uptake_within_Communities.pdf,2017-07-21T12:40:43.743131+00:00,1892956,application/pdf
EUDAT2020-DEL-WP3-D3.2-Detailed_Plan_for_Training_Activities_in_Months 13-36.pdf,2017-07-21T12:35:49.509550+00:00,1321357,application/pdf
EUDAT2020-DEL-WP2-D2.5-Guidelines_on_Open_Access_and_Restricted_Data.pdf,2017-07-21T12:30:14.933289+00:00,1302796,application/pdf
EUDAT2020-DEL-WP2-D2.4-Report_on_Governance_Model.pdf,2017-07-21T12:19:12.384230+00:00,1939020,application/pdf
EUDAT2020-DEL-WP2-D2.3-Strategic_Certification_Plan-v2.0.pdf,2017-07-21T12:12:34.832713+00:00,888505,application/pdf
workshop-report-v3.pdf,2017-07-12T10:54:41.337410+00:00,844356,application/pdf
logs,2017-06-26T12:43:17.781971+00:00,2256673,application/octet-stream
Alya-CFDWind1D.nc,2017-06-23T07:59:30.285136+00:00,4651629,application/x-netcdf
CFDWindSCM_ke.nc,2017-06-23T07:59:30.298043+00:00,55688995,application/x-netcdf
Ellipsys1D_TskWRF.nc,2017-06-23T07:59:30.310411+00:00,921426,application/x-netcdf
Ellipsys3D_LES_TskWRF.nc,2017-06-23T07:59:30.323016+00:00,611450,application/x-netcdf
Ellipsys3D_TskWRF.nc,2017-06-23T07:59:30.335138+00:00,814702,application/x-netcdf
GABLS3_tendencies_d02_YSU_w60_L9000.nc,2017-06-23T07:59:30.347215+00:00,32186970,application/x-netcdf
SP-Wind.nc,2017-06-23T07:59:30.359293+00:00,46204469,application/x-netcdf
VentosM.nc,2017-06-23T07:59:30.371798+00:00,306890,application/x-netcdf
WRF-LES_d8.nc,2017-06-23T07:59:30.383895+00:00,15739128,application/x-netcdf
WRF-MJY_ERA.nc,2017-06-23T07:59:30.396111+00:00,228402,application/x-netcdf
WRF-MJY_GFS.nc,2017-06-23T07:59:30.408355+00:00,228402,application/x-netcdf
WRF-MYNN_ERA.nc,2017-06-23T07:59:30.420962+00:00,228403,application/x-netcdf
WRF-MYNN_GFS.nc,2017-06-23T07:59:30.433158+00:00,228403,application/x-netcdf
WRF-QNSE_ERA.nc,2017-06-23T07:59:30.446421+00:00,228403,application/x-netcdf
WRF-QNSE_GFS.nc,2017-06-23T07:59:30.458739+00:00,228403,application/x-netcdf
WRF-TEMF_ERA.nc,2017-06-23T07:59:30.471439+00:00,228403,application/x-netcdf
WRF-TEMF_GFS.nc,2017-06-23T07:59:30.483720+00:00,228403,application/x-netcdf
WRF-YSU_ERA.nc,2017-06-23T07:59:30.495974+00:00,228402,application/x-netcdf
WRF-YSU_GFS.nc,2017-06-23T07:59:30.508545+00:00,228402,application/x-netcdf
GABLS3_CFDWindSCM_turb0_T2_9.nc,2017-06-23T07:47:48.860194+00:00,70190045,application/x-netcdf
GABLS3_CFDWindSCM_turb1_T2_10.nc,2017-06-23T07:47:48.872814+00:00,81194650,application/x-netcdf
GABLS3_CFDWindSCM_turb5_T2_2.nc,2017-06-23T07:47:48.885390+00:00,78200098,application/x-netcdf
GABLS3_CFDWindSCM_turb5_T2_noTadv_3.nc,2017-06-23T07:47:48.897647+00:00,79842695,application/x-netcdf
GABLS3_CFDWindSCM_turb5_T2_noTadvUadv_4.nc,2017-06-23T07:47:48.910482+00:00,79972234,application/x-netcdf
GABLS3_CFDWindSCM_turb5_T2_noTadvUadvSg0_5.nc,2017-06-23T07:47:48.923337+00:00,80280030,application/x-netcdf
GABLS3_CFDWindSCM_turb5_T2obs_11.nc,2017-06-23T07:47:48.935658+00:00,79837325,application/x-netcdf
GABLS3_CFDWindSCM_turb5_T2obs_UVTnud2-120_13.nc,2017-06-23T07:47:48.948086+00:00,78321342,application/x-netcdf
GABLS3_CFDWindSCM_turb5_T2obs_UVTnud2-200_20.nc,2017-06-23T07:47:48.960372+00:00,78440709,application/x-netcdf
GABLS3_CFDWindSCM_turb5_T2obs_UVTnud2-200tau10_21.nc,2017-06-23T07:47:48.972973+00:00,79910998,application/x-netcdf
GABLS3_CFDWindSCM_turb5_T2obs_UVTnud2-80_12.nc,2017-06-23T07:47:48.985301+00:00,78227470,application/x-netcdf
GABLS3_CFDWindSCM_turb5_T2_UVnud40-200_15.nc,2017-06-23T07:47:48.997691+00:00,83913400,application/x-netcdf
GABLS3_CFDWindSCM_turb5_T2_UVnud40-200tau10_17.nc,2017-06-23T07:47:49.009978+00:00,84055455,application/x-netcdf
GABLS3_CFDWindSCM_turb5_T2_UVnud40-200tau30_16.nc,2017-06-23T07:47:49.023052+00:00,83976135,application/x-netcdf
GABLS3_CFDWindSCM_turb5_T2_UVnud40-400_14.nc,2017-06-23T07:47:49.035333+00:00,78365055,application/x-netcdf
GABLS3_CFDWindSCM_turb5_T2wt_6.nc,2017-06-23T07:47:49.047772+00:00,78571850,application/x-netcdf
GABLS3_CFDWindSCM_turb5_Tsk_7.nc,2017-06-23T07:47:49.060176+00:00,79778344,application/x-netcdf
GABLS3_tendencies_d02_YSU_w60_L9000.nc,2017-06-23T07:47:49.072853+00:00,24083853,application/x-netcdf
DSA-WDS_Catalogue_of_Common_Requirements_V2_3_Final.pdf,2017-06-15T17:00:39.892877+00:00,161431,application/pdf
DSA–WDS Partnership – Procedures for Core Certification V1.2.pdf,2017-06-15T16:23:27.166104+00:00,140552,application/pdf
A EUDAT Working Group on Sensitive Data Management-V2.docx,2017-06-11T15:59:26.514890+00:00,18276,application/octet-stream
Mondsee_profile_data_2015.xls,2017-06-08T13:14:29.088015+00:00,15491584,application/vnd.ms-excel
radio_B.tar,2017-06-01T14:25:26.970171+00:00,77230080,application/x-tar
radio_z05B.tar,2017-06-01T14:25:26.982905+00:00,101468160,application/x-tar
EUDAT and DMP training - 20170518 - Barcelona.pdf,2017-06-01T14:22:49.315910+00:00,2245262,application/pdf
EUDAT and DMP training - exercise.pdf,2017-06-01T14:22:49.328695+00:00,271408,application/pdf
EUDAT_Coupling HPC and Data_ExDCI_2017.pdf,2017-06-01T14:22:49.341160+00:00,5018324,application/pdf
Wheat Data Interoperability Guidelines.pdf,2017-06-01T04:28:48.451961+00:00,158549,application/pdf
Wheat_Data_Interoperability_maintenance_plan.pdf,2017-06-01T04:28:48.467375+00:00,32254,application/pdf
CUR12048clust_cat_z0_100.dat,2017-05-26T08:31:21.445435+00:00,431020,application/octet-stream
CUR12048clust_cat_z05_100.dat,2017-05-26T08:31:21.458300+00:00,207200,application/octet-stream
radio.tar,2017-05-26T08:31:21.470590+00:00,77230080,application/x-tar
radio_z05.tar,2017-05-26T08:31:21.483258+00:00,101468160,application/x-tar
galaxies.fits,2017-05-25T12:22:16.075151+00:00,23014080,application/octet-stream
sky_model_components.fits,2017-05-25T12:22:16.087710+00:00,69036480,application/octet-stream
sky_model.fits,2017-05-25T12:22:16.099821+00:00,23014080,application/octet-stream
GEDErda-pid-bundle-v05.pdf,2017-05-24T18:37:55.207016+00:00,455521,application/pdf
vegetation_LTER_EU_LV_001_Engure_veget1995_2008.xlsx,2017-05-21T18:57:36.494427+00:00,439305,application/octet-stream
precipitation_LTER_EU_LV_001_Engure_precipitation 1995_2012.xlsx,2017-05-21T18:17:40.564855+00:00,480219,application/octet-stream
temperature_LTER_EU_LV_001_Engure_temp_1995_2012.xlsx,2017-05-20T20:47:48.343588+00:00,728995,application/octet-stream
vegetation_LTER_EU_LV_003_Randu_veget1996_2012.xlsx,2017-05-15T12:22:21.045073+00:00,753018,application/octet-stream
precipitation_LTER_EU_LV_003_Randu_precip1996_2012.xlsx,2017-05-15T11:54:14.067362+00:00,627012,application/octet-stream
temperature_LTER_EU_LV_005_Salaca_temp.xlsx,2017-05-14T20:48:34.138127+00:00,1281887,application/octet-stream
temperature_LTER_EU_LV_004_RHPS_temp.xlsx,2017-05-14T20:24:58.545867+00:00,1388614,application/octet-stream
precipitation_LTER_EU_LV_004_RHPS_precip.xlsx,2017-05-14T19:39:49.336586+00:00,1443526,application/octet-stream
temperature_LTER_EU_LV_002_Mazs_temp1995_2012.xlsx,2017-05-14T19:11:33.317096+00:00,771414,application/octet-stream
precipitation_LTER_EU_LV_002_Mazs_precip1995_2012.xlsx,2017-05-14T19:03:30.093290+00:00,534534,application/octet-stream
temperature_LTER_EU_LV_003_Randu_temp1996_20012.xlsx,2017-05-09T21:34:07.368895+00:00,615010,application/octet-stream
Data Management Plans – EUDAT best practices and case study.pdf,2017-05-03T06:44:16.428334+00:00,2981851,application/pdf
namelist.input,2017-05-01T10:13:26.814168+00:00,4310,application/octet-stream
namelist.wps,2017-05-01T10:13:26.826483+00:00,1424,application/octet-stream
EUDAT-AttributeLevelsofAssurance-Background.pdf,2017-04-26T08:40:42.296881+00:00,187257,application/pdf
eLTER VA Data Reporting 1_2_LTER_EU_DE_018_RMO (18.04.2017).xls,2017-04-18T15:49:07.289715+00:00,7595520,application/vnd.ms-excel
Metadata_Meteodata WaldhÑuser LTER database.xlsx,2017-04-12T11:59:54.084352+00:00,9241,application/octet-stream
Meteodata WaldhÑuser LTER database.xlsx,2017-04-12T11:59:54.096574+00:00,5184617,application/octet-stream
EUDAT-OpenAIRE-DMP-Inigo.pptx,2017-04-04T14:43:14.756083+00:00,6080137,application/octet-stream
SE01_Meteo200-2015_Dep1999-2015.xls,2017-04-03T09:29:27.012014+00:00,2123264,application/vnd.ms-excel
SE03_Meteo2000-2015_Dep1996-2015.xls,2017-04-03T09:10:33.015106+00:00,2077184,application/vnd.ms-excel
SE02_Meteo2000-2015_Dep1996-2015.xls,2017-04-03T08:41:28.039607+00:00,2114048,application/vnd.ms-excel
vegetation_LTER_EU_SE_017_gammtratten_VG_99_15.xls,2017-03-31T15:18:37.101986+00:00,1843200,application/vnd.ms-excel
vegetation_LTER_EU_SE_001_002_VG_kind_96_14.xls,2017-03-31T15:08:48.367049+00:00,1335808,application/vnd.ms-excel
vegetation_LTER_EU_SE_012_001_VG_gård_00_13.xls,2017-03-31T14:44:36.000195+00:00,1140736,application/vnd.ms-excel
vegetation_LTER_EU_SE_016_aneb_VG_82_13.xls,2017-03-28T06:48:17.753057+00:00,904704,application/vnd.ms-excel
management_LTER_EU_RS_002_manag_KA.xls,2017-03-27T19:46:09.425706+00:00,204288,application/vnd.ms-excel
soil_LTER_EU_RS_002_soil_KA.xls,2017-03-27T19:31:13.569339+00:00,491520,application/vnd.ms-excel
vegetation_LTER_EU_RS_002_veg_KA.xls,2017-03-27T18:56:42.249416+00:00,348160,application/vnd.ms-excel
meteoLTER_EU_BE_001_bras_meteo19962016.xlsx,2017-03-25T16:50:01.882712+00:00,2802924,application/octet-stream
metorology_LTER_EU_AT_005_dom_temp_hh_prec2007_v201703.xlsx,2017-03-21T13:05:06.126198+00:00,1079055,application/octet-stream
metorology_LTER_EU_AT_005_dom_temp_hh_prec2008_v201703.xlsx,2017-03-21T13:05:06.138515+00:00,1104748,application/octet-stream
metorology_LTER_EU_AT_005_dom_temp_hh_prec2009_v201703.xlsx,2017-03-21T13:05:06.150580+00:00,1101487,application/octet-stream
metorology_LTER_EU_AT_005_dom_temp_hh_prec2010_v201703.xlsx,2017-03-21T13:05:06.162779+00:00,1103847,application/octet-stream
metorology_LTER_EU_AT_005_dom_temp_hh_wiv_prec2011_v201703.xlsx,2017-03-21T13:05:06.175025+00:00,1398056,application/octet-stream
metorology_LTER_EU_AT_005_dom_temp_hh_wiv_prec2012_v201703.xlsx,2017-03-21T13:05:06.187448+00:00,1441995,application/octet-stream
metorology_LTER_EU_AT_005_dom_temp_hh_wiv_prec2013_v201703.xlsx,2017-03-21T13:05:06.199368+00:00,1441843,application/octet-stream
metorology_LTER_EU_AT_005_dom_temp_hh_wiv_prec2014_v201703.xlsx,2017-03-21T13:05:06.211434+00:00,2084875,application/octet-stream
metorology_LTER_EU_AT_005_dom_temp_hh_wiv_prec2015_v201703.xlsx,2017-03-21T13:05:06.223450+00:00,8117907,application/octet-stream
metorology_LTER_EU_AT_005_dom_temp_hh_wiv_prec2016_v201703.xlsx,2017-03-21T13:05:06.235849+00:00,8026148,application/octet-stream
